id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
500886,BEAUTIFUL ROOM IN BKLYN BROWNSTONE,2206506,James,Brooklyn,Bedford-Stuyvesant,40.68825316,-73.92951126,Private room,85,3,95,9/30/2018,343
501082,Private Bdrm & Bath-30-night min-Weekly Maid Serv.,2471671,Joyce,Manhattan,Harlem,40.82392034,-73.94204905,Private room,79,30,182,9/17/2018,350
501098,Private Bedroom in Wooden House,2472680,Fanny,Brooklyn,Williamsburg,40.71383586,-73.94739567,Private room,90,4,200,9/17/2018,121
501693,Room w/pvt bathroom on Central Park,1490833,Patrick,Manhattan,Upper West Side,40.79520056,-73.96239549,Private room,99,1,232,9/6/2018,287
502132,Beautiful Downtown Manhattan Share,48599,Anastasia,Manhattan,Chelsea,40.73941507,-74.00008647,Shared room,50,1,61,5/7/2017,0
502309,"Sunny Rm #1, A/C, Park, express Q train",2478675,Gina,Brooklyn,Prospect-Lefferts Gardens,40.65524081,-73.95645769,Private room,46,1,165,9/22/2018,352
502429,Park Slope duplex with backyard,2100968,Elodie,Brooklyn,South Slope,40.66153325,-73.98554281,Entire home/apt,325,2,105,9/3/2018,238
504362,1760 Sq ft Penthouse apartment,2487309,Eric,Brooklyn,Prospect Heights,40.67822608,-73.9700664,Entire home/apt,209,3,45,9/17/2018,146
504437,The biggest small apt in Manhattan,2356449,Mariana,Manhattan,Lower East Side,40.72232343,-73.98686079,Entire home/apt,120,3,43,8/25/2018,2
505315,Charming ROOM(s)*Lovely BUSHWICK Block*25min->City,167417,Kelly,Brooklyn,Bushwick,40.69227495,-73.90851976,Private room,68,5,27,6/30/2018,0
505835,Room 2 - Comfy and Quiet @TWBGH,1559494,Hill,Brooklyn,Williamsburg,40.71260149,-73.94972984,Private room,100,2,50,5/3/2016,0
506121,Cozy Room in Lively East Village,2267153,John,Manhattan,East Village,40.72759754,-73.9834668,Private room,72,4,405,9/26/2018,30
506527,Modern Sunny 2 Bedroom Apartment,864735,Jason,Queens,Astoria,40.75782099,-73.92128973,Entire home/apt,107,30,22,8/12/2018,274
506575,Bronx Room Near Yankees + Harlem,2001830,Jose And Ysaira,Bronx,Morris Heights,40.84936561,-73.91327977,Private room,45,3,162,9/15/2018,338
507393,Ready private furnished room w/Wifi,1539749,Edward,Brooklyn,Bedford-Stuyvesant,40.68548708,-73.94724237,Private room,49,2,38,8/27/2018,337
508117,Room1-ComfyQueen Bed Private @TWBGH,1559494,Hill,Brooklyn,Williamsburg,40.71278971,-73.94985851,Private room,115,2,48,2/9/2016,0
508154,3 Bedrooms Comfy Private @TWBGH,1559494,Hill,Brooklyn,Williamsburg,40.71314018,-73.94974734,Entire home/apt,315,2,71,6/19/2016,0
508583,COME STAY WITH US!,2506909,Nicole,Brooklyn,Bedford-Stuyvesant,40.68729725,-73.94572384,Entire home/apt,110,5,54,8/2/2018,329
509989,Artist's Ditmas Pk 5 bedroom house,2472305,Rick,Brooklyn,Flatbush,40.64228649,-73.96547571,Entire home/apt,349,1,154,9/3/2018,347
510218,Spacious Upper West Side 1-Bedroom,2513726,Margaret,Manhattan,Upper West Side,40.79218351,-73.97926113,Entire home/apt,169,2,140,9/15/2018,288
510543,"Best of  Greenpoint - cozy, garden-side room",2515620,Maria,Brooklyn,Greenpoint,40.72374741,-73.95312352,Private room,64,2,16,9/1/2018,320
511960,Wonderful east village floor thru,2521848,Gay,Manhattan,East Village,40.73044324,-73.9868261,Entire home/apt,160,1,15,5/9/2016,0
512209,Your own townhouse in Bklyn Heights,2521513,Amy,Brooklyn,Brooklyn Heights,40.69963958,-73.99299404,Entire home/apt,800,4,58,9/3/2018,63
512210,The Brooklyn Woodworker 3bdrm/2bth,2522854,Rich,Brooklyn,Crown Heights,40.67709147,-73.95236641,Entire home/apt,349,2,280,9/24/2018,314
512775,The Cottage / 1500 sqft. of Privacy,2396295,Richard,Queens,Long Island City,40.75295605,-73.93715689,Entire home/apt,350,2,161,9/16/2018,319
513688,Boerum Hill Brownstone Garden Duplx,2530670,Tiffany,Brooklyn,Boerum Hill,40.68586364,-73.9808987,Entire home/apt,350,2,112,9/23/2018,25
515408,Soho Apartment Stylish & Central,2538621,Arne,Manhattan,Nolita,40.72134583,-73.99650389,Entire home/apt,235,1,308,9/26/2018,318
518576,3 bedroom duplex apt with backyard,2155917,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68812177,-73.94626506,Entire home/apt,250,5,48,12/29/2017,328
518960,Cozy and quiet with secret garden,2155832,Federico,Manhattan,Harlem,40.82823066,-73.94691479,Entire home/apt,90,4,233,9/30/2018,222
519310,YOU ROOM IN NYC,1366310,Janina,Queens,Woodside,40.74377435,-73.91224973,Private room,75,2,229,9/12/2018,334
521672,Luxury Loft in Creative & Fun Apt,1720619,Glace,Brooklyn,Williamsburg,40.71423364,-73.95305371,Private room,89,4,136,10/1/2018,88
